Iterative BFS,adjlist,9163->1815,122,9418,1.02361,121,0
Recursive BFS,adjlist,9163->1815,122,9418,1.12345,121,0
Iterative DFS,adjlist,9163->1815,2538,5946,0.542031,2537,0
Recursive DFS,adjlist,9163->1815,2538,5946,0.556804,2537,0
Dijkstra,adjlist,9163->1815,130,9287,1.3641,129,33.542
A* (A star),adjlist,9163->1815,122,122,0.00420571,121,56.715
Iterative BFS,adjmatrix,9163->1815,122,9430,2.33725,121,0
Recursive BFS,adjmatrix,9163->1815,122,9430,1.72839,121,0
Iterative DFS,adjmatrix,9163->1815,4240,5918,2.51008,4239,0
Recursive DFS,adjmatrix,9163->1815,4240,5918,2.49731,4239,0
Dijkstra,adjmatrix,9163->1815,130,9287,2.59026,129,33.542
A* (A star),adjmatrix,9163->1815,122,122,0.0174602,121,56.715
Iterative BFS,adjlist,1075->8241,107,8285,0.779364,106,0
Recursive BFS,adjlist,1075->8241,107,8285,0.826441,106,0
Iterative DFS,adjlist,1075->8241,1749,4038,0.253627,1748,0
Recursive DFS,adjlist,1075->8241,1749,4038,0.254622,1748,0
Dijkstra,adjlist,1075->8241,111,8390,1.3283,110,32.592
A* (A star),adjlist,1075->8241,107,107,0.00415894,106,51.122
Iterative BFS,adjmatrix,1075->8241,107,8285,2.23862,106,0
Recursive BFS,adjmatrix,1075->8241,107,8285,2.17786,106,0
Iterative DFS,adjmatrix,1075->8241,1945,8077,3.52931,1944,0
Recursive DFS,adjmatrix,1075->8241,1945,8077,3.47698,1944,0
Dijkstra,adjmatrix,1075->8241,111,8390,2.56682,110,32.592
A* (A star),adjmatrix,1075->8241,107,107,0.0163716,106,51.122
Iterative BFS,adjlist,3898->8773,75,5056,0.183649,74,0
Recursive BFS,adjlist,3898->8773,75,5056,0.194577,74,0
Iterative DFS,adjlist,3898->8773,1343,8627,2.25973,1342,0
Recursive DFS,adjlist,3898->8773,1343,8627,2.31747,1342,0
Dijkstra,adjlist,3898->8773,77,3877,0.261971,76,18.854
A* (A star),adjlist,3898->8773,75,75,0.00271942,74,33.118
Iterative BFS,adjmatrix,3898->8773,75,5056,1.07809,74,0
Recursive BFS,adjmatrix,3898->8773,75,5056,1.02683,74,0
Iterative DFS,adjmatrix,3898->8773,787,787,0.158243,786,0
Recursive DFS,adjmatrix,3898->8773,787,787,0.119818,786,0
Dijkstra,adjmatrix,3898->8773,77,3877,0.746072,76,18.854
A* (A star),adjmatrix,3898->8773,75,75,0.0117637,74,33.118
Iterative BFS,adjlist,3667->4647,31,1761,0.0309981,30,0
Recursive BFS,adjlist,3667->4647,31,1761,0.0318363,30,0
Iterative DFS,adjlist,3667->4647,1097,4160,0.276678,1096,0
Recursive DFS,adjlist,3667->4647,1097,4160,0.285929,1096,0
Dijkstra,adjlist,3667->4647,31,2010,0.0576254,30,10.49
A* (A star),adjlist,3667->4647,31,31,0.00169961,30,15.179
Iterative BFS,adjmatrix,3667->4647,31,1811,0.26319,30,0
Recursive BFS,adjmatrix,3667->4647,31,1811,0.260849,30,0
Iterative DFS,adjmatrix,3667->4647,2939,7120,3.04656,2938,0
Recursive DFS,adjmatrix,3667->4647,2939,7120,2.94733,2938,0
Dijkstra,adjmatrix,3667->4647,31,2010,0.398186,30,10.49
A* (A star),adjmatrix,3667->4647,31,31,0.00642916,30,15.179
Iterative BFS,adjlist,5227->5869,49,4136,0.28636,48,0
Recursive BFS,adjlist,5227->5869,49,4136,0.311222,48,0
Iterative DFS,adjlist,5227->5869,2133,2133,0.282001,2132,0
Recursive DFS,adjlist,5227->5869,2133,2133,0.284807,2132,0
